blaster,modbus_address,rom,code_size_bytes,code_base64,referenced_by,status
wb-msw-v3_218,218,1,206,AFwAXABcAFwAXABcALYAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXABcAFwjCQBcAFwAXABcAFwAXAC2AFwAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXABcIwkAXABcAFwAXABcAFwAtgBcAFwAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXCMJAFwAXABcAFwAXABcALYAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXABcAFwAXABcAFw=,mf_amplifier:input_usb (USB),ok
wb-msw-v3_218,218,2,198,AFwAXAC2ALYAtgBcAFwAXABcAFwAXABcAFwAXABcALYAtgC2ALYjCQBcAFwAtgC2ALYAXABcAFwAXABcAFwAXABcAFwAXAC2ALYAtgC2IwkAXABcALYAtgC2AFwAXABcAFwAXABcAFwAXABcAFwAtgC2ALYAtiMJAFwAXAC2ALYAtgBcAFwAXABcAFwAXABcAFwAXABcALYAtgC2ALYjCQBcAFwAtgC2ALYAXABcAFwAXABcAFwAXABcAFwAXAC2ALYAtgC2,mf_amplifier:input_phono (Phono),ok
wb-msw-v3_218,218,3,158,A4oBvwA9ADQAPQA0AD0ANAA9ADQAPQA0AD0ANAA9AKUAPQA0AD0ANAA9ADQAPQA0AD0ANAA9ADQAPQA0AD0ApQA9ADQAPQA0AD0ApQA9ADQAPQClAD0ApQA9ADQAPQA0AD0ANAA9AKUAPQA0AD0ApQA9ADQAPQA0AD0ApQA9AKUAPQClAD0SOwOKAN0APSWaA4oA3QA9JZoDigDdAD0=,video:home (Home),ok
wb-msw-v3_218,218,4,158,A4oBvwA9ADQAPQA0AD0ANAA9ADQAPQA0AD0ANAA9AKUAPQA0AD0ANAA9ADQAPQA0AD0ANAA9ADQAPQA0AD0ApQA9ADQAPQA0AD0ApQA9ADQAPQClAD0ApQA9ADQAPQA0AD0ANAA9AKUAPQA0AD0ApQA9ADQAPQA0AD0ApQA9AKUAPQClAD0SOwOKAN0APSWaA4oA3QA9JZoDigDdAD0=,video:settings (Settings),ok
wb-msw-v3_218,218,5,166,A4kBwAA8ADQAPAA0ADwANAA8ADQAPAA0ADwANAA8AKUAPAA0ADwANAA8ADQAPAA0ADwANAA8ADQAPAA0ADwApQA8ADQAPAClADwANAA8AKUAPAA0ADwANAA8ADQAPAClADwAPAA8ADQAPAClADwANAA8AKUAPAClADwApQA8ADwAPAClADwSSQOJAN0APCWZA4kA3QA8JZkDiQDdADwAAAAAAAAAAA==,video:back (Back),ok
wb-msw-v3_218,218,8,174,A4IBwAA8ADMAPAA8ADwApwA8ADwAPAA8ADwAPAA8ADwAPACnADwAPAA8ADwAPAA8ADwAPAA8ADwAPACnADwAPAA8ADwAPACnADwApwA8AKcAPAA8ADwAMwA8ADMAPACnADwAMwA8ADMAPAAzADwAMwA8AKcAPACnADwApwA8ADwAPACnADwR1gOCAN4APCWCA4IA3gA8JYIDggDeADwlggOCAN4APCWCA4IA3gA8,upscaler:ratio_16_9 (Ratio 16:9),ok
wb-msw-v3_218,218,9,182,A4YBuwA9ADMAPQAzAD0AowA9AD0APQA9AD0APQA9AD0APQCjAD0APQA9AD0APQA9AD0APQA9AD0APQCjAD0APQA9ADMAPQAzAD0AowA9AKMAPQAzAD0AMwA9ADMAPQCjAD0AMwA9AKMAPQAzAD0AMwA9AKMAPQCjAD0AowA9ADMAPQCjAD0R4AOGAN8APSWNA4YA3wA9JY0DhgDfAD0ljQOGAN8APSWNA4YA3wA9JY0DhgDfAD0=,upscaler:letterbox (Letterbox),ok
wb-msw-v3_218,218,10,182,A4YBuwA9ADMAPQAzAD0AowA9AD0APQA9AD0APQA9AD0APQCjAD0APQA9AD0APQA9AD0APQA9AD0APQCjAD0APQA9ADMAPQAzAD0AowA9AKMAPQAzAD0AMwA9ADMAPQCjAD0AMwA9AKMAPQAzAD0AMwA9AKMAPQCjAD0AowA9ADMAPQCjAD0R4AOGAN8APSWNA4YA3wA9JY0DhgDfAD0ljQOGAN8APSWNA4YA3wA9JY0DhgDfAD0=,upscaler:menu (Menu),ok
wb-msw-v3_218,218,11,166,A4YBuwA9ADMAPQAzAD0AogA9ADMAPQAzAD0AMwA9ADMAPQCiAD0AMwA9ADMAPQA9AD0APQA9AD0APQCiAD0APQA9AD0APQA9AD0APQA9AKIAPQA9AD0APQA9AD0APQCiAD0AMwA9AKIAPQCiAD0AMwA9AKIAPQCiAD0AogA9ADMAPQCiAD0R2wOGANkAPSWCA4YA2QA9JYIDhgDZAD0lggOGANkAPQ==,upscaler:menu_exit (Menu Exit),ok
wb-msw-v3_218,218,12,166,A4UBvAA8ADQAPAA0ADwApAA8ADQAPAA0ADwANAA8ADQAPACkADwANAA8ADQAPAA0ADwANAA8ADQAPACkADwANAA8ADQAPACkADwANAA8ADQAPAA0ADwANAA8ADQAPAA0ADwANAA8ADQAPACkADwApAA8AKQAPACkADwApAA8AKQAPACkADwRzgOFANgAPCV3A4UA2AA8JXcDhQDYADwldwOFANgAPA==,upscaler:menu_up (Menu Up),ok
wb-msw-v3_218,218,13,166,A4IBvwA5ADkAOQA5ADkAqAA5ADkAOQA5ADkAOQA5ADkAOQCoADkAOQA5ADkAOQA5ADkAOQA5ADkAOQCoADkAOQA5ADkAOQA5ADkAqAA5ADkAOQA5ADkAOQA5ADkAOQA5ADkAOQA5AKgAOQA5ADkAqAA5AKgAOQCoADkAqAA5AKgAOQCoADkR0wOCAN4AOSWAA4IA3gA5JYADggDeADklgAOCAN4AOQ==,upscaler:menu_down (Menu Down),ok
wb-msw-v3_218,218,14,166,A4gBugA+ADEAPgAxAD4AogA+ADEAPgAxAD4AMQA+ADEAPgCiAD4AMQA+ADEAPgAxAD4AMQA+ADEAPgCiAD4AMQA+ADEAPgCiAD4AMQA+AKIAPgAxAD4AMQA+ADEAPgAxAD4AMQA+ADEAPgCiAD4AMQA+AKIAPgCiAD4AogA+AKIAPgCiAD4R2wOIANkAPiWCA4gA2QA+JYIDiADZAD4lggOIANkAPg==,upscaler:menu_left (Menu Left),ok
wb-msw-v3_218,218,15,166,A4gBugA+ADEAPgAxAD4AogA+ADEAPgAxAD4AMQA+ADEAPgCiAD4AMQA+ADEAPgAxAD4AMQA+ADEAPgCiAD4AMQA+ADEAPgCiAD4AMQA+AKIAPgAxAD4AMQA+ADEAPgAxAD4AMQA+ADEAPgCiAD4AMQA+AKIAPgCiAD4AogA+AKIAPgCiAD4R2wOIANkAPiWCA4gA2QA+JYIDiADZAD4lggOIANkAPg==,upscaler:menu_right (Menu Right),ok
wb-msw-v3_218,218,16,166,A4cBugA+ADIAPgAyAD4AowA+ADIAPgAyAD4AMgA+ADIAPgCjAD4AMgA+ADIAPgAyAD4AMgA+ADIAPgCjAD4AMgA+ADIAPgCjAD4AowA+ADIAPgCjAD4AMgA+ADIAPgAyAD4AMgA+ADIAPgAyAD4AowA+AD4APgCjAD4AowA+AKMAPgCjAD4R4wOHANkAPiWIA4cA2QA+JYgDhwDZAD4liAOHANkAPg==,upscaler:menu_ok (OK/Enter),ok
wb-msw-v3_218,218,75,0,,reel_to_reel:rewind_backward (Rewind Backward),EMPTY
wb-msw-v3_218,218,80,0,,vhs_player:rewind_backward (Rewind Backward),EMPTY
